uncertainty_threshold,accept_rate,review_rate,block_rate,fraud_in_accept_rate,fraud_in_review_rate,fraud_in_block_rate,accept_count,review_count,block_count
0.384724413,0.8950703978090657,0.10001404445068643,0.004915557740247885,9.806805923310778e-05,0.0012287168685272951,0.30714285714285716,50985,5697,280
0.3883221762711864,0.8987395105508936,0.09634493170885854,0.004915557740247885,9.766769543305856e-05,0.0012755102040816326,0.30714285714285716,51194,5488,280
0.3967639627118644,0.9074646255398335,0.08761981671991854,0.004915557740247885,9.672863748041245e-05,0.001402524544179523,0.30714285714285716,51691,4991,280
0.40520574915254237,0.9160141848951933,0.07907025736455883,0.004915557740247885,0.00011499099237226418,0.0013321492007104796,0.30714285714285716,52178,4504,280
0.4136475355932203,0.924563744250553,0.07052069800919912,0.004915557740247885,0.00011392765593847907,0.0014936519790888724,0.30714285714285716,52665,4017,280
0.4220893220338983,0.9338155261402339,0.06126891611951828,0.004915557740247885,0.00015039855617386073,0.001146131805157593,0.30714285714285716,53192,3490,280
0.43053110847457626,0.9432955303535691,0.051788911906183066,0.004915557740247885,0.00014888706915804363,0.0013559322033898306,0.30714285714285716,53732,2950,280
0.4316401425,0.9450686422527299,0.05001580000702222,0.004915557740247885,0.00014860773131722177,0.001404001404001404,0.30714285714285716,53833,2849,280
0.43897289491525426,0.9548470910431516,0.04023735121660054,0.004915557740247885,0.0001654715940430226,0.0013089005235602095,0.30714285714285716,54390,2292,280
0.4474146813559322,0.966310873915944,0.02877356834380815,0.004915557740247885,0.0001816761441055175,0.0012202562538133007,0.30714285714285716,55043,1639,280
0.45585646779661015,0.9768266563674028,0.018257785892349287,0.004915557740247885,0.00017972035512742174,0.0019230769230769232,0.30714285714285716,55642,1040,280
0.46429825423728815,0.9847266598785155,0.010357782381236615,0.004915557740247885,0.00019610639663410111,0.001694915254237288,0.30714285714285716,56092,590,280
0.4647287108,0.9850777711456761,0.01000667111407605,0.004915557740247885,0.000196036498431708,0.0017543859649122807,0.30714285714285716,56112,570,280
0.4727400406779661,0.9904146624065167,0.004669779853235491,0.004915557740247885,0.00019498014747589337,0.0037593984962406013,0.30714285714285716,56416,266,280
0.48118182711864405,0.9929953302201467,0.002089112039605351,0.004915557740247885,0.00021215282074854588,0.0,0.30714285714285716,56563,119,280
0.48962361355932205,0.9947157754292335,0.0003686668305185913,0.004915557740247885,0.00021178588447080002,0.0,0.30714285714285716,56661,21,280
0.4980654,0.9950844422597521,0.0,0.004915557740247885,0.0002117074203450831,,0.30714285714285716,56682,0,280
